form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komnungthangtampak258,mu,1.sg.3.pl.nfut.neg,mu-ming-ai,Σ-ming-ai,Σ+m+ing+ai,Σ m i ŋ ai,Σ + m + i ŋ + ai,sociolect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak259,mu,1.pl.excl.3.sg.nfut.neg,mu-mak-ung,Σ-mak-ung,Σ+mak+ung,Σ m a k u ŋ,Σ + m a k + u ŋ,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak260,mu,1.pl.excl.3.sg.nfut.neg,mu-mung,Σ-Σng,Σ+m+ung,Σ m u ŋ,Σ + m + u ŋ,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak261,mu,1.pl.incl.3.sg.nfut.neg,mu-mak,Σ-mak,Σ+mak,Σ m a k,Σ + m a k,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak262,mu,1.pl.incl.3.sg.nfut.neg,mu-mak-me,Σ-mak-me,Σ+mak+me,Σ m a k m e,Σ + m a k + m e,sociolect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak263,mu,1.pl.incl.3.sg.nfut.neg,mu-mak-mi,Σ-mak-mi,Σ+mak+mi,Σ m a k m i,Σ + m a k + m i,sociolect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak264,mu,1.pl.excl.3.pl.nfut.neg,mu-mak-ung-ai,Σ-mak-ung-ai,Σ+mak+ung+ai,Σ m a k u ŋ ai,Σ + m a k + u ŋ + ai,formal,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak265,mu,1.pl.excl.3.pl.nfut.neg,mu-mung-ai,Σ-Σng-ai,Σ+m+ung+ai,Σ m u ŋ ai,Σ + m + u ŋ + ai,informal,fusion,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak266,mu,1.pl.incl.3.pl.nfut.neg,mu-mak-ai-me,Σ-mak-ai-me,Σ+mak+ai+me,Σ m a k ai m e,Σ + m a k + ai + m e,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak267,mu,1.pl.incl.3.pl.nfut.neg,na-mu-mak-ai,na-Σ-mak-ai,na+Σ+mak+ai,n a Σ m a k ai,n a + Σ + m a k + ai,sociolect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
