grapheme_id,language_id
-,komnungthangtampak
a,komnungthangtampak
ai,komnungthangtampak
ch,komnungthangtampak
e,komnungthangtampak
ei,komnungthangtampak
h,komnungthangtampak
i,komnungthangtampak
k,komnungthangtampak
m,komnungthangtampak
n,komnungthangtampak
ng,komnungthangtampak
s,komnungthangtampak
t,komnungthangtampak
u,komnungthangtampak
ui,komnungthangtampak
ŋ,komnungthangtampak
Σ,komnungthangtampak
